Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
25.06.02;#23C.3023;;Linienpunkt Rohrdurchlass;Punkt;h49;
;#23C.3023;;Rohrdurchlass;Linie;l41;
;#23C.3024;;Rohrdurchlass DN 1000 (Symbol);Punkt;b60;
25.06.02;#23C.3025;;Linienpunkt Rohrdurchlass DN 1000;Punkt;h50;
;#23C.3025;;Rohrdurchlass DN 1000;Linie;l42;
;#23C.3026;;Rohrdurchlass DN 200 (Symbol);Punkt;b60;
25.06.02;#23C.3027;;Linienpunkt Rohrdurchlass DN 200;Punkt;h51;
;#23C.3027;;Rohrdurchlass DN 200;Linie;l43;
;#23C.3028;;Rohrdurchlass DN 300 (Symbol);Punkt;b60;
25.06.02;#23C.3029;;Linienpunkt Rohrdurchlass DN 300;Punkt;h52;
;#23C.3029;;Rohrdurchlass DN 300;Linie;l44;
;#23C.3030;;Rohrdurchlass DN 400 (Symbol);Punkt;b60;
25.06.02;#23C.3031;;Linienpunkt Rohrdurchlass DN 400;Punkt;h53;
;#23C.3031;;Rohrdurchlass DN 400;Linie;l45;
;#23C.3032;;Rohrdurchlass DN 500 (Symbol);Punkt;b60;
25.06.02;#23C.3033;;Linienpunkt Rohrdurchlass DN 500;Punkt;h54;
;#23C.3033;;Rohrdurchlass DN 500;Linie;l46;
;#23C.3034;;Rohrdurchlass DN 600 (Symbol);Punkt;b60;
25.06.02;#23C.3035;;Linienpunkt Rohrdurchlass DN 600;Punkt;h55;
;#23C.3035;;Rohrdurchlass DN 600;Linie;l47;
;#23C.3036;;Rohrdurchlass DN 700 (Symbol);Punkt;b60;
25.06.02;#23C.3037;;Linienpunkt Rohrdurchlass DN 700;Punkt;h56;
;#23C.3037;;Rohrdurchlass DN 700;Linie;l48;
;#23C.3038;;Rohrdurchlass DN 800 (Symbol);Punkt;b60;
25.06.02;#23C.3039;;Linienpunkt Rohrdurchlass DN 800;Punkt;h57;
;#23C.3039;;Rohrdurchlass DN 800;Linie;l49;
;#23C.3040;;Rohrdurchlass DN 900 (Symbol);Punkt;b60;
25.06.02;#23C.3041;;Linienpunkt Rohrdurchlass DN 900;Punkt;h58;
;#23C.3041;;Rohrdurchlass DN 900;Linie;l50;
;#23C.3042;;Rahmendurchlass (Symbol);Punkt;b60;
25.06.02;#23C.3043;;Linienpunkt Rahmendurchlass;Punkt;h59;
;#23C.3043;;Rahmendurchlass;Linie;l51;
25.06.02;#23C.3044;;Linienpunkt Rahmendurchlass links Randseite;Punkt;h60;
;#23C.3044;;Rahmendurchlass linke Randseite;Linie;l52;
25.06.02;#23C.3045;;Linienpunkt Rahmendurchlass rechte Randseite;Punkt;h61;
;#23C.3045;;Rahmendurchlass rechte Randseite;Linie;l53;
;#23C.3046;;Rahmendurchlass LW=1.0 (Symbol);Punkt;b60;
