Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Status;Objektart;Attribut Verkehr;Attribut Ver-/Entsorgung;Attribut Ver-/Entsorgung unterirdisch;;
01.08.10;#061.F218;;DGM - Formlinien;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F318;;DGM - Formlinien;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F918;;DGM - Formlinien;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F019;;DGM - Formlinien, geschlossen;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F119;;DGM - Formlinien, geschlossen;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F219;;DGM - Formlinien, geschlossen;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F319;;DGM - Formlinien, geschlossen;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F919;;DGM - Formlinien, geschlossen;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F020;;DGM - Randlinie;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F120;;DGM - Randlinie;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F220;;DGM - Randlinie;Linie;661;Digitalisiert;DGM;;;;;
